"team","elo_rating","team_base_elo","qb_adj","assumed_qb"
"PHI",1189.640114852074,1176.9872697766432,12.652845075430752,"J.Hurts"
"BUF",1165.899111022267,1147.0111202172125,18.887990805054667,"J.Allen"
"BAL",1162.3626754495415,1129.8558393374333,32.506836112108154,"L.Jackson"
"GB",1129.3352444864195,1112.169841456929,17.165403029490598,"J.Love"
"DET",1134.318340277452,1110.0781856495248,24.24015462792732,"J.Goff"
"KC",1084.0868429533286,1082.9340315469506,1.1528114063781318,"P.Mahomes"
"LA",1076.1549823096711,1073.7960529408956,2.3589293687755335,"M.Stafford"
"LAC",1083.5415748465396,1070.1217113058467,13.419863540692779,"J.Herbert"
"TB",1081.0712897033493,1057.9322220663794,23.139067636969827,"B.Mayfield"
"CIN",1019.5699651481765,1055.8260225413583,-36.25605739318179,"J.Browning"
"WAS",1059.8272374609758,1049.4127608267468,10.414476634228935,"J.Daniels"
"DEN",1069.1538469724717,1045.8537442320007,23.30010274047087,"B.Nix"
"SEA",1020.8825881191184,1036.516976950749,-15.634388831630636,"S.Darnold"
"MIN",1003.0021106805208,1027.4857887894846,-24.48367810896377,"J.McCarthy"
"SF",919.8954585688809,1016.9681547419073,-97.0726961730263,"M.Jones"
"HOU",991.8059404573854,1006.6866029585268,-14.88066250114139,"C.Stroud"
"ARI",1009.1631830324626,997.8684523601396,11.294730672322995,"K.Murray"
"PIT",1015.7064278096699,996.4814021129251,19.225025696744797,"A.Rodgers"
"IND",1010.7217376835804,994.0996451497693,16.6220925338111,"D.Jones"
"ATL",953.8514231554187,976.3579213457867,-22.50649819036804,"M.Penix"
"DAL",1006.1160787855991,975.6607114212715,30.455367364327667,"D.Prescott"
"MIA",947.1318734777406,936.7421807885373,10.389692689203258,"T.Tagovailoa"
"JAX",963.5626509180739,932.8446500269057,30.718000891168238,"T.Lawrence"
"NYJ",901.2390392373565,923.282706469999,-22.04366723264256,"J.Fields"
"LV",942.3851600033005,914.8670962861592,27.51806371714132,"G.Smith"
"NE",915.4611196769067,905.4464134311593,10.014706245747423,"D.Maye"
"CHI",899.2364784796631,900.5798517105984,-1.3433732309353443,"C.Williams"
"NO",860.9419268198205,889.6406177919737,-28.698690972153155,"S.Rattler"
"CLE",852.5171986728675,882.7818884029227,-30.264689730055263,"J.Flacco"
"NYG",885.8638944516218,868.8922732576754,16.971621193946497,"R.Wilson"
"CAR",868.0821771452008,856.46775120005,11.614425945150895,"B.Young"
"TEN",838.3158107137529,848.3683313278831,-10.052520614130254,"C.Ward"
